"name","address","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Tulsi Manas Temple","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/1f/0c/ce/tulsi-manas-temple.jpg?w=500&h=400&s=1","","","4.0","161","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d320994-Reviews-Tulsi_Manas_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Kriti Gallery","Raja Sir Motichand Road Raman Niwas opposite Akashwani, Varanasi 221010 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/64/52/bb/a-view-of-the-front-of.jpg?w=500&h=-1&s=1","","","5.0","110","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d2626746-Reviews-Kriti_Gallery-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Banaras Hindu University","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8e/65/22/historic-banaras-hindu.jpg?w=500&h=-1&s=1","","","4.5","181","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d11641040-Reviews-Banaras_Hindu_University-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Nepali Temple (Kathwala Temple)","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/f0/fa/d6/nepali-temple-kathwala.jpg?w=500&h=-1&s=1","","","4.5","174","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d2431881-Reviews-Nepali_Temple_Kathwala_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Vishalakshi Temple","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ad/76/58/vishalakshi-temple.jpg?w=500&h=400&s=1","","","5.0","55","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d10161249-Reviews-Vishalakshi_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Tibetan Temple","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/c8/18/60/tibetan-temple.jpg?w=500&h=400&s=1","","","4.5","180","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3727502-Reviews-Tibetan_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Garden of Spiritual Wisdom","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/70/34/4f/garden-of-spiritual-wisdom.jpg?w=500&h=-1&s=1","","","4.5","90","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d7300010-Reviews-Garden_of_Spiritual_Wisdom-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Kashi Vishwanath Temple","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/70/1e/32/img-20180319-074839-largejpg.jpg?w=500&h=-1&s=1","","","4.5","83","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d13859556-Reviews-Kashi_Vishwanath_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Dhamek Stupa","Rishipattan Road 13 Km From Varanasi, Varanasi 221007 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/72/c6/a0/photo8jpg.jpg?w=500&h=-1&s=1","","","4.5","338","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d4096946-Reviews-Dhamek_Stupa-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Archaeological Museum","Near Chaukhandi Stupa Near Sangharama Monastery, Varanasi 221007 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/4a/56/c4/outside-of-museum.jpg?w=500&h=400&s=1","","","4.5","327","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3912765-Reviews-Archaeological_Museum-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Batuk Bhairav Mandir","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/53/6d/60/kaal-bhairav-temple.jpg?w=500&h=-1&s=1","","","4.5","95","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d7700994-Reviews-Batuk_Bhairav_Mandir-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Kedar Ghat","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/21/e5/1d/caption.jpg?w=500&h=-1&s=1","","","4.5","195","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3705604-Reviews-Kedar_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
