"name","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Reserve Forest Sanctuary","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/cb/c5/cd/reserve-forest-sanctuary.jpg?w=500&h=400&s=1","","","4.5","51","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705246-Reviews-Reserve_Forest_Sanctuary-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Lakkar Bazaar","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/57/3b/eb/lakkar-bazaar-shops-2.jpg?w=500&h=-1&s=1","","","4.0","101","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705605-Reviews-Lakkar_Bazaar-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"The Glen","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/6b/89/da/filename-make-your-uttaranchal.jpg?w=400&h=-1&s=1","","","4.0","60","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d2649575-Reviews-The_Glen-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Summer Hill","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/2e/3b/24/center-for-advance-studies.jpg?w=500&h=400&s=1","","","4.0","67","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705000-Reviews-Summer_Hill-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Kufri Fun World","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/9d/52/view-from-the-restaurant.jpg?w=500&h=-1&s=1","","","3.5","1,363","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3347620-Reviews-Kufri_Fun_World-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Shaily Peak","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/59/a7/e9/view-from-the-top-of.jpg?w=500&h=400&s=1","","","4.5","26","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705379-Reviews-Shaily_Peak-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Army Herritage Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/0f/12/a6/museum-house.jpg?w=500&h=-1&s=1","","","4.5","33","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d12589039-Reviews-Army_Herritage_Museum-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Jakhu Ropeway","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b5/da/a3/getlstd-property-photo.jpg?w=500&h=400&s=1","","","4.0","39","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d12914749-Reviews-Jakhu_Ropeway-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Himachal State Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/f5/98/5a/state-museum-exterior.jpg?w=500&h=400&s=1","","","4.0","103","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3912805-Reviews-Himachal_State_Museum-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Sankat Mochan Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/6b/d9/30/sankat-mochan-temple.jpg?w=500&h=400&s=1","","","4.5","94","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d9974220-Reviews-Sankat_Mochan_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Shimla Water Catchment Wildlife Sanctuary","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ed/ea/61/shimla-water-catchment.jpg?w=500&h=400&s=1","","","4.5","28","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d8093299-Reviews-Shimla_Water_Catchment_Wildlife_Sanctuary-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
