"name","address","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Shalimar Bagh","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bb/1b/23/caption.jpg?w=500&h=-1&s=1","","","4.0","771","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d2151516-Reviews-Shalimar_Bagh-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Badamwari Garden","Kathi Darwaza Botaraj Colony, Srinagar 190003 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ce/c9/6f/pathways.jpg?w=500&h=400&s=1","","","4.5","155","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d4310693-Reviews-Badamwari_Garden-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Jamia Masjid Srinagar","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/d2/f3/4d/twilight-time.jpg?w=500&h=400&s=1","","","4.5","300","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d1204551-Reviews-Jamia_Masjid_Srinagar-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Chashme Shahi Gardens","Nr. Rajbhawan Foothills of Zabarwan range, Srinagar 190001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/39/07/29/psx-20180521-190034-largejpg.jpg?w=500&h=400&s=1","","","4.0","919","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3149376-Reviews-Chashme_Shahi_Gardens-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Shah E Hamdan R.H Mosque","Kadal - Maharak Ganj Rd Khanqah-e-Moula, Srinagar 190002 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/cb/c7/3d/shah-e-hamdan.jpg?w=500&h=-1&s=1","","","4.5","105","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d501151-Reviews-Shah_E_Hamdan_R_H_Mosque-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Jawaharlal Nehru Memorial Botanical Gardens","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b3/c3/45/jawaharlal-nehru-memorial.jpg?w=500&h=-1&s=1","","","4.5","169","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3803786-Reviews-Jawaharlal_Nehru_Memorial_Botanical_Gardens-Srinagar_Srinagar_District_Kashmir_Ja.html","2024-03-01T18:28:28Z"
"Chatti Padshahi Gurudwara","Baramula District Kathi Darwaza, Hari Parbat Fort, Rainawari, Srinagar 190001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/67/ae/80/cortile-interno.jpg?w=500&h=-1&s=1","","","4.5","49","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3149563-Reviews-Chatti_Padshahi_Gurudwara-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Manasbal Lake","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/65/cc/17/lake-garden.jpg?w=500&h=400&s=1","","","4.0","144","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d338345-Reviews-Manasbal_Lake-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Wular Lake","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/13/61/e0/wular-lake.jpg?w=500&h=-1&s=1","","","4.0","57","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d338342-Reviews-Wular_Lake-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Floating Vegetable Market","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/24/32/b3/i-have-never-seen-any.jpg?w=500&h=-1&s=1","","","4.5","45","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d12911328-Reviews-Floating_Vegetable_Market-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
