name,address,email,image,label,phone,rating,review_Count,website,breadcrumb,url,timestamp
Manikarnika Ghat,"Ghasi Tola Road, Varanasi 221001 India",,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/22/14/4b/photo3jpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1a/f7/bd/aghori-baba.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/54/22/6d/manikarnika-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/84/3e/3e/manikarnika-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/84/3e/3c/manikarnika-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/84/3e/26/manikarnika-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f6/96/b7/micheline-and-valerie.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f6/92/c0/cremation-in-the-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/22/14/49/photo1jpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/da/c6/d3/20190121-171745-largejpg.jpg?w=100&h=-1&s=1",,,4.5,"1,181 reviews",,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d324471-Reviews-Manikarnika_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:55:35Z
Banaras Ghats,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/b1/33/f8/banaras-ghats.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d5/7d/a2/explore-the-ghats.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d5/7d/16/great-scenery.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/cd/aa/55/20180924-184708-largejpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/31/c6/69/ganga-aarti.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/96/75/4a/ganga-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ab/d7/1c/photo2jpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/df/fc/11/un-des-principaux-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ba/88/be/banaras-ghats.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/87/59/5e/banaras-ghats.jpg?w=100&h=-1&s=1",,,4.5,"1,855 reviews",,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d317360-Reviews-Banaras_Ghats-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:56:04Z
Dasaswamedh Ghat,"Dasaswamedh Ghat Road Bangali Tola, Varanasi 221001 India",,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/f0/86/f7/dasaswamedh-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/29/ae/ef/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/29/ae/ee/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/29/ae/ed/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/d9/59/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/d9/58/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/d9/57/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/d9/56/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/d9/55/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/bb/59/ec/colourful-scene-at-the.jpg?w=100&h=-1&s=1",,,4.5,"1,989 reviews",,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d324472-Reviews-Dasaswamedh_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:56:19Z
Sarnath,"Sarnath Via-Anlabereni, Varanasi 759026 India",,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ee/12/6f/stupa.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3a/7a/56/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3a/7a/55/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3a/7a/54/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3a/7a/53/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3a/7a/52/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3a/7a/51/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3a/7a/50/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/21/b8/d9/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/21/1e/f5/at-the-80-foot-tall-buddha.jpg?w=100&h=-1&s=1",,,4.5,"3,024 reviews",,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d478221-Reviews-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:56:27Z
Assi Ghat,"Sdkfjl, Varanasi 221005 India",,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ae/ed/5d/a-view-of-the-ghats-taken.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/29/a9/bd/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/29/a9/bc/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/29/a9/bb/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/5f/4c/e2/asi-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dc/f4/92/ag11.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dc/f4/54/ag4.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/03/40/c3/activities.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/15/40/aa/20181230-071128-largejpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/8e/ce/e8/awesome-place-for-spend.jpg?w=100&h=-1&s=1",,,4.5,"1,273 reviews",,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d321162-Reviews-Assi_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:57:15Z
Hanuman Ghat,,,,,,4.0,15 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d3913194-Reviews-Hanuman_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:57:31Z
Man Singh Observatory,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/73/09/37/a-view-of-the-lower-quarters.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/33/58/29/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/33/58/28/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/33/58/27/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/33/58/26/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/33/58/25/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/33/58/24/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/33/58/23/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/33/58/22/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/4b/e3/96/inside.jpg?w=100&h=-1&s=1",,,4.5,11 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d13290403-Reviews-Man_Singh_Observatory-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:57:41Z
Jain Ghat,,,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/21/4b/96/jain-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/70/8a/ac/jain-ghat.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/58/ce/c1/bachraj-ghat-the-three.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/a7/bd/0e/jain-ghat-varanasi.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/21/4b/b2/decorations.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/21/4b/aa/festival.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/21/4b/a3/dev-deepavali.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/21/4b/a2/at-night.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/21/4b/9f/dev-deepavali.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/21/4b/9a/pilgrimages.jpg?w=100&h=-1&s=1",,,4.5,13 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d8492045-Reviews-Jain_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:58:12Z
Ramnagar Fort,"Kila Road Ramnagar Crossing, Varanasi 221008 India",,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/08/1f/33/outside.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/dd/70/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/dd/6e/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/dd/6c/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/dd/6a/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/1c/dd/68/caption.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/08/1f/39/in-the-compound.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e3/f9/f9/img-20190315-105557-largejpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e3/f9/f4/img-20190315-111501-largejpg.jpg?w=100&h=-1&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/a0/0f/83/ramnagar-fort.jpg?w=100&h=-1&s=1",,,3.5,331 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d2531640-Reviews-Ramnagar_Fort-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:58:27Z
ISKCON Varanasi,"Durgakund Road, Varanasi 221010 India",,,,,4.0,34 reviews,,Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Things to Do in Varanasi,https://www.tripadvisor.com/Attraction_Review-g297685-d3953737-Reviews-ISKCON_Varanasi-Varanasi_Varanasi_District_Uttar_Pradesh.html,2024-01-24T13:58:47Z
